Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.13,1.06,57.14,1.6,0.53,0.09,27.4,77.83,0.93,0.84,2.08,2.31,0.53,4.74,0.44,44.49,1.37,Florian Loshaj,florian-loshaj,,İstanbulspor
0.13,0.4,37.5,2.24,0.26,0.4,29.03,81.18,1.19,0.79,1.19,2.24,0.4,5.15,0.53,57.33,2.51,Endri Çekiçi,endri-cekici,,Pendikspor
0.13,0.91,58.33,2.01,0.52,0.45,47.2,82.45,2.27,1.62,3.31,2.92,0.91,4.93,1.3,50.53,1.1,Kerem Demirbay,kerem-demirbay,,Galatasaray
0.13,0.71,57.89,1.16,0.32,0.13,25.51,79.36,0.9,0.52,1.42,1.87,1.03,3.09,0.77,52.63,0.64,Gökcan Kaya,gokcan-kaya,,Pendikspor
0.13,2.37,56.06,3.01,1.22,0.58,19.96,79.59,2.43,1.66,2.62,1.15,0.45,4.48,0.13,51.06,1.02,Yusuf Sarı,yusuf-sari,,Adana Demirspor
0.13,1.13,34.62,2.14,0.88,0.13,22.28,81.57,1.64,0.38,0.63,0.88,0.0,3.78,0.5,43.04,1.76,Garry Rodrigues,garry-rodrigues,,MKE Ankaragücü
0.13,1.97,58.75,1.89,0.75,0.08,23.64,77.79,1.13,0.21,1.22,2.01,1.26,6.37,1.13,51.44,2.43,Ibrahim Olawoyin,ibrahim-olawoyin,,Çaykur Rizespor
0.12,0.3,71.43,0.85,0.18,0.0,38.09,80.51,0.55,0.0,3.58,1.88,1.76,3.15,2.24,53.61,1.03,Chandrel Massanga,chandrel-massanga,,Hatayspor
0.12,1.44,44.44,2.88,1.08,0.6,47.58,82.16,2.28,1.68,3.0,1.44,0.36,4.21,0.72,39.05,1.32,Rachid Ghezzal,rachid-ghezzal,,Beşiktaş
0.11,0.78,65.63,1.75,0.48,0.3,29.32,73.83,2.83,1.79,2.61,1.9,0.48,4.81,0.67,52.31,2.16,Haris Hajradinović,haris-hajradinovic,,Kasımpaşa
0.11,0.89,57.14,1.22,0.33,0.11,38.52,77.68,1.66,0.44,2.32,1.66,0.77,3.54,1.44,35.71,1.0,Eduart Rroca,eduart-rroca,,İstanbulspor
0.1,2.12,48.81,1.81,0.77,0.41,15.9,72.99,1.6,0.52,1.34,0.93,0.41,3.82,0.67,49.71,0.77,Altin Zeqiri,zeqiri-altin,,Çaykur Rizespor
0.1,1.84,59.02,1.89,0.41,0.1,19.8,73.16,1.43,0.82,1.74,1.64,0.67,5.12,0.1,43.78,1.64,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
0.1,2.29,50.56,1.37,0.36,0.2,17.45,79.58,0.81,0.25,0.71,2.04,0.81,7.38,0.61,49.22,3.05,Marlos Moreno,marlos-moreno,,Konyaspor
0.1,1.56,70.45,1.41,0.25,0.05,34.83,84.08,1.11,0.3,2.21,3.62,1.31,7.8,0.65,57.53,2.62,Gedson Fernandes,gedson-fernandes,,Beşiktaş
0.1,1.33,51.92,1.38,0.59,0.44,30.41,82.29,2.56,2.12,3.15,1.33,0.54,3.94,0.49,43.69,1.33,Alexandru Maxim,alexandru-maxim,,Gaziantep FK
